probe,group_kind,group,n,pct_reads_mean,pct_reads_min,pct_reads_max,n_layers,band_lo,band_hi,ref_tpr_mean,ref_fpr_mean,gap_position_mean
eval_v2,all,all,1009,76.20715882637657,0.0,97.12586719524282,43,0,42,0.711953488372093,0.2715348837209302,nan
harm_v2,all,all,1009,44.739207596745565,0.0,99.10802775024777,43,0,42,0.6313255813953488,0.21723255813953488,nan
persona_v2,all,all,1009,75.8360799317768,0.0,94.54905847373637,43,0,42,0.8092325581395348,0.1442093023255814,nan
story_v2_1k,all,all,1009,19.042570355175513,0.0,85.72844400396433,43,0,42,0.9465581395348837,0.0363953488372093,nan
eval_v2,category,Disinformation,55,74.88372093023257,0.0,100.0,43,0,42,0.711953488372093,0.2715348837209302,nan
harm_v2,category,Disinformation,55,40.507399577167014,0.0,96.36363636363636,43,0,42,0.6313255813953488,0.21723255813953488,nan
persona_v2,category,Disinformation,55,74.6723044397463,0.0,100.0,43,0,42,0.8092325581395348,0.1442093023255814,nan
story_v2_1k,category,Disinformation,55,10.40169133192389,0.0,83.63636363636364,43,0,42,0.9465581395348837,0.0363953488372093,nan
eval_v2,category,Economic harm,65,65.76028622540251,0.0,92.3076923076923,43,0,42,0.711953488372093,0.2715348837209302,nan
harm_v2,category,Economic harm,65,59.928443649373875,0.0,98.46153846153847,43,0,42,0.6313255813953488,0.21723255813953488,nan
persona_v2,category,Economic harm,65,68.05008944543829,0.0,86.15384615384616,43,0,42,0.8092325581395348,0.1442093023255814,nan
story_v2_1k,category,Economic harm,65,9.230769230769234,0.0,86.15384615384616,43,0,42,0.9465581395348837,0.0363953488372093,nan
eval_v2,category,Expert advice,62,71.26781695423855,0.0,95.16129032258064,43,0,42,0.711953488372093,0.2715348837209302,nan
harm_v2,category,Expert advice,62,45.34883720930232,0.0,98.38709677419355,43,0,42,0.6313255813953488,0.21723255813953488,nan
persona_v2,category,Expert advice,62,69.50487621905476,0.0,93.54838709677419,43,0,42,0.8092325581395348,0.1442093023255814,nan
story_v2_1k,category,Expert advice,62,16.91672918229557,0.0,70.96774193548387,43,0,42,0.9465581395348837,0.0363953488372093,nan
eval_v2,category,Fraud/Deception,83,76.85626225833566,0.0,97.59036144578313,43,0,42,0.711953488372093,0.2715348837209302,nan
harm_v2,category,Fraud/Deception,83,49.397590361445786,0.0,100.0,43,0,42,0.6313255813953488,0.21723255813953488,nan
persona_v2,category,Fraud/Deception,83,73.94228075091063,0.0,95.18072289156626,43,0,42,0.8092325581395348,0.1442093023255814,nan
story_v2_1k,category,Fraud/Deception,83,13.785374054356963,0.0,80.72289156626506,43,0,42,0.9465581395348837,0.0363953488372093,nan
eval_v2,category,Government decision-making,80,71.59883720930233,0.0,93.75,43,0,42,0.711953488372093,0.2715348837209302,nan
harm_v2,category,Government decision-making,80,52.23837209302326,0.0,100.0,43,0,42,0.6313255813953488,0.21723255813953488,nan
persona_v2,category,Government decision-making,80,68.05232558139535,0.0,90.0,43,0,42,0.8092325581395348,0.1442093023255814,nan
story_v2_1k,category,Government decision-making,80,8.69186046511628,0.0,67.5,43,0,42,0.9465581395348837,0.0363953488372093,nan
eval_v2,category,Harassment/Discrimination,63,71.13325950535254,0.0,98.41269841269842,43,0,42,0.711953488372093,0.2715348837209302,nan
harm_v2,category,Harassment/Discrimination,63,66.0391288298265,0.0,100.0,43,0,42,0.6313255813953488,0.21723255813953488,nan
persona_v2,category,Harassment/Discrimination,63,70.39497969730527,0.0,95.23809523809524,43,0,42,0.8092325581395348,0.1442093023255814,nan
story_v2_1k,category,Harassment/Discrimination,63,14.544112218530824,0.0,85.71428571428571,43,0,42,0.9465581395348837,0.0363953488372093,nan
eval_v2,category,Malware/Hacking,64,73.21947674418605,0.0,96.875,43,0,42,0.711953488372093,0.2715348837209302,nan
harm_v2,category,Malware/Hacking,64,57.8125,0.0,100.0,43,0,42,0.6313255813953488,0.21723255813953488,nan
persona_v2,category,Malware/Hacking,64,64.49854651162791,0.0,85.9375,43,0,42,0.8092325581395348,0.1442093023255814,nan
