axis_a,axis_b,layer,depth,cos,reliability_a,reliability_b,cos_disattenuated
story_v2,story_v1,0,0.0,0.0,nan,nan,nan
story_v2,story_v1,1,0.0357,0.7140373355106354,0.9639914556120917,0.9655013340514154,0.7401297977947839
story_v2,story_v1,2,0.0714,0.746357436275253,0.9503323577101083,0.9756362187588719,0.7751132282058877
story_v2,story_v1,3,0.1071,0.7319770276332827,0.9480033530056668,0.9781412999313432,0.7601367268281966
story_v2,story_v1,4,0.1429,0.7724515619730158,0.9558262959695978,0.9805598321746157,0.7978931179055085
story_v2,story_v1,5,0.1786,0.7556397722231272,0.9666541754685957,0.982807705140167,0.7752556972598414
story_v2,story_v1,6,0.2143,0.7022191530536579,0.9647723575374644,0.9791018351388392,0.7225140762515748
story_v2,story_v1,7,0.25,0.7267754700389099,0.968595172307555,0.9817001531783874,0.745314690131598
story_v2,story_v1,8,0.2857,0.7155010109453056,0.9698881838890294,0.9801280936654364,0.7338511830505202
story_v2,story_v1,9,0.3214,0.7447803770198278,0.9773984957481728,0.9818332005851841,0.7602799468006141
story_v2,story_v1,10,0.3571,0.7240268701242387,0.9807786562068366,0.9817081161470501,0.7378668345967159
story_v2,story_v1,11,0.3929,0.7309285137065354,0.9827119445683864,0.9811448255994818,0.7443809116097241
story_v2,story_v1,12,0.4286,0.7207438842027198,0.9802312479531174,0.9818252218703925,0.734682342869241
story_v2,story_v1,13,0.4643,0.7197057255233916,0.9822125101882971,0.9816700334985152,0.7329417487763549
story_v2,story_v1,14,0.5,0.812486698147475,0.9889633016184353,0.986356145847665,0.822638998350057
story_v2,story_v1,15,0.5357,0.816221864255736,0.9908883200710604,0.9874710650883126,0.8251514745316416
story_v2,story_v1,16,0.5714,0.8313288415270303,0.9908632018039448,0.9886302565868458,0.8399415182956963
story_v2,story_v1,17,0.6071,0.8095115971497749,0.9904032275836617,0.9849954941748641,0.8195961873836529
story_v2,story_v1,18,0.6429,0.8099962811074265,0.9896853535418265,0.9850982663189398,0.8203414876990777
story_v2,story_v1,19,0.6786,0.7591570675657799,0.985069134324651,0.9775758020569852,0.7736117589574316
story_v2,story_v1,20,0.7143,0.753860537902207,0.9863085008524171,0.9711352326350456,0.7702731624839864
story_v2,story_v1,21,0.75,0.7432635832822347,0.9857940707728898,0.9624462011996561,0.7630649800385703
story_v2,story_v1,22,0.7857,0.7220380032519549,0.9837464474457621,0.9577205877825664,0.7438734465378573
story_v2,story_v1,23,0.8214,0.7201757978062413,0.9809008669984538,0.958929790853386,0.7425617211696572
story_v2,story_v1,24,0.8571,0.7138762897581767,0.9791485352831972,0.956272132371706,0.7377477924315844
story_v2,story_v1,25,0.8929,0.7150238721038558,0.976490821805606,0.9544738454451857,0.7406353599462749
story_v2,story_v1,26,0.9286,0.6903334960667011,0.9750995543548479,0.9503519819959155,0.7171206445131475
story_v2,story_v1,27,0.9643,0.6772244670934277,0.9717411803950868,0.9433673533175411,0.7073215906890375
story_v2,story_v1,28,1.0,0.7188864844873336,0.9780147282971788,0.9305128245356338,0.7535749261102245
story_v2,harm,0,0.0,0.0,nan,nan,nan
story_v2,harm,1,0.0357,-0.05312800329843478,0.9639914556120917,0.6778264418783115,-0.06572455414085532
story_v2,harm,2,0.0714,-0.10271512744145465,0.9503323577101083,0.7128163938256185,-0.12479805340473717
story_v2,harm,3,0.1071,-0.03904483825019008,0.9480033530056668,0.7252911125146052,-0.04708716174578637
