probe,layer,depth,auroc,ci_lo,ci_hi,n,cohens_dz,spearman_readout_dwords
d_v2,0,0.0,0.5,0.3983211295033019,0.601678870496698,100,nan,-0.39005100510051005
d_v2,1,0.0357,1.0,0.9637833073548239,1.0,100,2.9010690123066576,0.3732253225322532
d_v2,2,0.0714,0.87,0.787959322912551,0.9289269538145708,100,1.1731685926570414,0.17602160216021603
d_v2,3,0.1071,0.86,0.7762720186294321,0.9212945950730338,100,1.3345445555159996,0.043996399639964
d_v2,4,0.1429,0.92,0.8484423641355807,0.9648284374818372,100,1.6295095482012452,-0.008496849684968498
d_v2,5,0.1786,0.98,0.9296160675289302,0.9975686631760574,100,2.464442733721912,0.05506150615061506
d_v2,6,0.2143,0.94,0.8739700654191775,0.9776651139286834,100,1.7013578643080203,-0.00036003600360036
d_v2,7,0.25,1.0,0.9637833073548239,1.0,100,2.7683857078572247,-0.010429042904290428
d_v2,8,0.2857,1.0,0.9637833073548239,1.0,100,2.8755301355875766,-0.1028982898289829
d_v2,9,0.3214,1.0,0.9637833073548239,1.0,100,3.0958981884984853,-0.1224962496249625
d_v2,10,0.3571,1.0,0.9637833073548239,1.0,100,3.9806162953686717,-0.10791479147914791
d_v2,11,0.3929,1.0,0.9637833073548239,1.0,100,3.822906962269972,-0.1189078907890789
d_v2,12,0.4286,1.0,0.9637833073548239,1.0,100,3.6774373253946395,-0.18197419741974197
d_v2,13,0.4643,1.0,0.9637833073548239,1.0,100,3.559422806598617,-0.17777377737773778
d_v2,14,0.5,1.0,0.9637833073548239,1.0,100,4.931213312058416,-0.12908490849084908
d_v2,15,0.5357,1.0,0.9637833073548239,1.0,100,4.37515309315993,-0.17696969696969697
d_v2,16,0.5714,1.0,0.9637833073548239,1.0,100,5.065807686351716,-0.1543834383438344
d_v2,17,0.6071,1.0,0.9637833073548239,1.0,100,4.71351828796058,-0.1380978097809781
d_v2,18,0.6429,1.0,0.9637833073548239,1.0,100,4.146978358647866,-0.12975697569756975
d_v2,19,0.6786,1.0,0.9637833073548239,1.0,100,4.326542594557126,-0.09813381338133813
d_v2,20,0.7143,1.0,0.9637833073548239,1.0,100,4.9964500268562055,-0.05107710771077108
d_v2,21,0.75,1.0,0.9637833073548239,1.0,100,4.004469819118835,-0.0006480648064806481
d_v2,22,0.7857,1.0,0.9637833073548239,1.0,100,4.550966181499483,-0.005976597659765976
d_v2,23,0.8214,1.0,0.9637833073548239,1.0,100,4.466532429210373,0.0532973297329733
d_v2,24,0.8571,1.0,0.9637833073548239,1.0,100,4.212909619837574,0.09076507650765077
d_v2,25,0.8929,1.0,0.9637833073548239,1.0,100,4.066337686919266,0.12468046804680467
d_v2,26,0.9286,1.0,0.9637833073548239,1.0,100,4.017967530613783,0.1681008100810081
d_v2,27,0.9643,1.0,0.9637833073548239,1.0,100,3.939379546849537,0.1929072907290729
d_v2,28,1.0,1.0,0.9637833073548239,1.0,100,3.8952813093380527,0.13314131413141314
d_length,0,0.0,0.5,0.3983211295033019,0.601678870496698,100,nan,-0.39005100510051005
d_length,1,0.0357,1.0,0.9637833073548239,1.0,100,5.822454167537251,0.49008100810081007
d_length,2,0.0714,1.0,0.9637833073548239,1.0,100,6.2909656374665985,0.4826042604260426
d_length,3,0.1071,1.0,0.9637833073548239,1.0,100,6.324610077210005,0.4254065406540654
d_length,4,0.1429,1.0,0.9637833073548239,1.0,100,5.6909650484947285,0.37755775577557754
d_length,5,0.1786,1.0,0.9637833073548239,1.0,100,6.241252331168059,0.4092649264926493
d_length,6,0.2143,1.0,0.9637833073548239,1.0,100,7.56248030294983,0.2523132313231323
d_length,7,0.25,1.0,0.9637833073548239,1.0,100,8.24655431126341,0.30635463546354635
d_length,8,0.2857,1.0,0.9637833073548239,1.0,100,8.037499233292804,0.33284128412841285
d_length,9,0.3214,1.0,0.9637833073548239,1.0,100,6.872113875033596,0.2150855085508551
d_length,10,0.3571,1.0,0.9637833073548239,1.0,100,6.018550767243931,0.2514251425142514
d_length,11,0.3929,1.0,0.9637833073548239,1.0,100,6.338484891607148,0.2018841884188419
d_length,12,0.4286,1.0,0.9637833073548239,1.0,100,6.758620387285487,0.20483648364836485
d_length,13,0.4643,1.0,0.9637833073548239,1.0,100,5.962128525115494,0.21093309330933094
d_length,14,0.5,1.0,0.9637833073548239,1.0,100,5.833508044173014,0.19015901590159015
d_length,15,0.5357,1.0,0.9637833073548239,1.0,100,5.688351274998729,0.2471767176717672
d_length,16,0.5714,1.0,0.9637833073548239,1.0,100,5.276897230085175,0.1853945394539454
d_length,17,0.6071,1.0,0.9637833073548239,1.0,100,5.596214275738108,0.11877587758775877
d_length,18,0.6429,1.0,0.9637833073548239,1.0,100,6.4761213712851875,0.14264626462646265
d_length,19,0.6786,1.0,0.9637833073548239,1.0,100,6.535928134624348,0.12016801680168017
d_length,20,0.7143,1.0,0.9637833073548239,1.0,100,5.354804738753988,0.09538553855385538
d_length,21,0.75,1.0,0.9637833073548239,1.0,100,4.289763306265502,0.05172517251725173
d_length,22,0.7857,1.0,0.9637833073548239,1.0,100,4.0240820824634085,0.09597359735973597
d_length,23,0.8214,1.0,0.9637833073548239,1.0,100,3.7875383537391074,0.06481848184818483
d_length,24,0.8571,1.0,0.9637833073548239,1.0,100,3.44496458903884,0.0881128112811281
d_length,25,0.8929,1.0,0.9637833073548239,1.0,100,3.543899085330647,0.10725472547254726
d_length,26,0.9286,1.0,0.9637833073548239,1.0,100,3.3804971844497373,0.15234323432343233
d_length,27,0.9643,0.99,0.9455406146079199,0.9997468539670227,100,3.249433315821189,0.08597659765976598
d_length,28,1.0,0.99,0.9455406146079199,0.9997468539670227,100,2.6995963274894987,0.0986018601860186
d_v1_50,0,0.0,0.5,0.3983211295033019,0.601678870496698,100,nan,-0.39005100510051005
d_v1_50,1,0.0357,1.0,0.9637833073548239,1.0,100,3.1535243582040677,0.3034863486348635
d_v1_50,2,0.0714,0.97,0.9148239470257205,0.9937700284616935,100,1.9075922233774216,0.20433243324332434
d_v1_50,3,0.1071,0.99,0.9455406146079199,0.9997468539670227,100,2.1794073182548734,0.09564956495649565
d_v1_50,4,0.1429,0.98,0.9296160675289302,0.9975686631760574,100,2.4780619729324895,0.01318931893189319
d_v1_50,5,0.1786,1.0,0.9637833073548239,1.0,100,3.272401971455358,0.08802880288028803
d_v1_50,6,0.2143,1.0,0.9637833073548239,1.0,100,3.714087006564574,0.12926492649264926
d_v1_50,7,0.25,1.0,0.9637833073548239,1.0,100,4.321778214679512,0.1262046204620462
d_v1_50,8,0.2857,1.0,0.9637833073548239,1.0,100,3.998109509520658,-0.023366336633663366
d_v1_50,9,0.3214,1.0,0.9637833073548239,1.0,100,3.9710737768804654,-0.0930933093309331
d_v1_50,10,0.3571,1.0,0.9637833073548239,1.0,100,4.961885889394486,-0.024254425442544254
d_v1_50,11,0.3929,1.0,0.9637833073548239,1.0,100,4.7365724098567155,-0.11291929192919292
d_v1_50,12,0.4286,1.0,0.9637833073548239,1.0,100,4.09347920432163,-0.20482448244824483
d_v1_50,13,0.4643,1.0,0.9637833073548239,1.0,100,3.5910132757000155,-0.1742934293429343
d_v1_50,14,0.5,1.0,0.9637833073548239,1.0,100,5.420155128166819,-0.16087608760876088
d_v1_50,15,0.5357,1.0,0.9637833073548239,1.0,100,5.351874249382468,-0.1598079807980798
d_v1_50,16,0.5714,1.0,0.9637833073548239,1.0,100,5.5188601840176235,-0.10601860186018602
d_v1_50,17,0.6071,1.0,0.9637833073548239,1.0,100,5.093356978473555,-0.07209120912091209
d_v1_50,18,0.6429,1.0,0.9637833073548239,1.0,100,4.27268903926967,-0.05570957095709571
d_v1_50,19,0.6786,1.0,0.9637833073548239,1.0,100,4.4485060764186,-0.08867686768676868
d_v1_50,20,0.7143,1.0,0.9637833073548239,1.0,100,4.798145969531814,-0.06917491749174917
d_v1_50,21,0.75,1.0,0.9637833073548239,1.0,100,4.757730824465567,-0.04314431443144314
d_v1_50,22,0.7857,1.0,0.9637833073548239,1.0,100,4.458357706790266,-0.041176117611761175
d_v1_50,23,0.8214,1.0,0.9637833073548239,1.0,100,4.829933682299215,-0.039987998799879985
d_v1_50,24,0.8571,1.0,0.9637833073548239,1.0,100,4.717361594463256,-0.03908790879087909
d_v1_50,25,0.8929,1.0,0.9637833073548239,1.0,100,4.6124087729326115,-0.039495949594959494
d_v1_50,26,0.9286,1.0,0.9637833073548239,1.0,100,4.314891471416931,0.0026282628262826284
d_v1_50,27,0.9643,1.0,0.9637833073548239,1.0,100,4.346625801002144,0.034779477947794776
d_v1_50,28,1.0,1.0,0.9637833073548239,1.0,100,4.332929967274932,0.035895589558955894
