axis_a,axis_b,layer,depth,cos,reliability_a,reliability_b,cos_disattenuated
story_v2_1k,persona_v2,0,0.0,0.0,nan,nan,nan
story_v2_1k,persona_v2,1,0.0357,0.08471811661241427,0.9941684982994302,0.996659599290463,0.08510848630038631
story_v2_1k,persona_v2,2,0.0714,0.0584367215466831,0.993303033558212,0.996930102981549,0.05872359123766789
story_v2_1k,persona_v2,3,0.1071,0.03650489459651028,0.9951216353745278,0.9973350086807873,0.03664312318144379
story_v2_1k,persona_v2,4,0.1429,0.05062587156720322,0.9964223131524312,0.9976523295304203,0.0507763151035483
story_v2_1k,persona_v2,5,0.1786,0.06743204654626886,0.9968035144969405,0.9967347337728834,0.06765061733320378
story_v2_1k,persona_v2,6,0.2143,-0.015358334133723148,0.9949933199625376,0.9981020948519221,-0.015411558023930648
story_v2_1k,persona_v2,7,0.25,-0.019961500562680232,0.9958170731386222,0.9979801852415279,-0.02002361295930516
story_v2_1k,persona_v2,8,0.2857,-0.013655311731913523,0.9958548242862447,0.9978243987107976,-0.013698611329202338
story_v2_1k,persona_v2,9,0.3214,0.013496957255177586,0.997218186351486,0.9970527196119219,0.01353573103962544
story_v2_1k,persona_v2,10,0.3571,0.007473138882541963,0.9972231088371464,0.9967854874686631,0.007495593626189622
story_v2_1k,persona_v2,11,0.3929,0.006415545272048553,0.9975143436141,0.9964275292031963,0.006435038365462788
story_v2_1k,persona_v2,12,0.4286,0.007571721696940493,0.9976010522126136,0.99619130676217,0.00759529803148995
story_v2_1k,persona_v2,13,0.4643,0.023917686779167027,0.997942632886806,0.9960896204239291,0.023989278073749124
story_v2_1k,persona_v2,14,0.5,0.07512192031609284,0.998869112845528,0.9957090523023461,0.07532621775387725
story_v2_1k,persona_v2,15,0.5357,0.13673058427178472,0.9991080988791092,0.9957576121007556,0.13708268819462258
story_v2_1k,persona_v2,16,0.5714,0.1419399581178676,0.9990884605483893,0.9966529209188901,0.1422429430301677
story_v2_1k,persona_v2,17,0.6071,0.16300021628192887,0.999035014927381,0.9963990064594404,0.16337333809131943
story_v2_1k,persona_v2,18,0.6429,0.17680435447308032,0.9990264948365122,0.9967770053631446,0.1771762267773633
story_v2_1k,persona_v2,19,0.6786,0.17086547059513008,0.9986926881107282,0.9959368927244956,0.17132567902778276
story_v2_1k,persona_v2,20,0.7143,0.23033233063002945,0.9987047135757726,0.9960276066169826,0.23094079915993201
story_v2_1k,persona_v2,21,0.75,0.20396568192969108,0.9986732414610329,0.99507637886867,0.20460544470662398
story_v2_1k,persona_v2,22,0.7857,0.19638344444710762,0.9985131055834416,0.9946032104822604,0.19706207884904067
story_v2_1k,persona_v2,23,0.8214,0.16961559320825037,0.9983391400055135,0.9942544843795674,0.1702464039935241
story_v2_1k,persona_v2,24,0.8571,0.15213415792021995,0.9982862443841971,0.9939312315229467,0.1527288293165267
story_v2_1k,persona_v2,25,0.8929,0.1463652617133864,0.9981963115913383,0.9933087158460995,0.14699004069078356
story_v2_1k,persona_v2,26,0.9286,0.14627493736150562,0.9980697670688671,0.9926047062078784,0.146960731705689
story_v2_1k,persona_v2,27,0.9643,0.15451872674449543,0.9979433026829118,0.9916419127190431,0.15532835743739473
story_v2_1k,persona_v2,28,1.0,0.22213008449575175,0.9982359105053682,0.9920531897171115,0.2232149653589649
story_v2_1k,harm_v2,0,0.0,0.0,nan,nan,nan
story_v2_1k,harm_v2,1,0.0357,-0.041978056913807224,0.9941684982994302,0.977777439193256,-0.042576732305145144
story_v2_1k,harm_v2,2,0.0714,-0.06376743342071908,0.993303033558212,0.9821904093635607,-0.06455950798506656
story_v2_1k,harm_v2,3,0.1071,0.016041582640882558,0.9951216353745278,0.9763661054158378,0.016274317386334933
story_v2_1k,harm_v2,4,0.1429,0.014270434637635035,0.9964223131524312,0.9769567945109889,0.014463646530397117
story_v2_1k,harm_v2,5,0.1786,0.03182956333680899,0.9968035144969405,0.9827147221797835,0.03215971336101598
story_v2_1k,harm_v2,6,0.2143,-0.004683236445892418,0.9949933199625376,0.9838851664759625,-0.004733297434508183
story_v2_1k,harm_v2,7,0.25,0.05803154495623271,0.9958170731386222,0.9850761208295696,0.05859215251699672
story_v2_1k,harm_v2,8,0.2857,0.030941006435061914,0.9958548242862447,0.9870954358785259,0.031207346888021834
story_v2_1k,harm_v2,9,0.3214,0.11370197779679585,0.997218186351486,0.9892182875548512,0.11447927115550423
story_v2_1k,harm_v2,10,0.3571,0.03247831404411242,0.9972231088371464,0.9902359222852284,0.03268345585862481
story_v2_1k,harm_v2,11,0.3929,0.09279623245600647,0.9975143436141,0.9897800334833662,0.09339022573903585
story_v2_1k,harm_v2,12,0.4286,0.08670619605523859,0.9976010522126136,0.9904623000076813,0.08722735616464365
story_v2_1k,harm_v2,13,0.4643,0.08147744687811376,0.997942632886806,0.991904750793595,0.08189353881143176
story_v2_1k,harm_v2,14,0.5,0.12910344203684454,0.998869112845528,0.9950069088241624,0.12950021248940893
story_v2_1k,harm_v2,15,0.5357,0.05339951817004532,0.9991080988791092,0.9960943942983123,0.053527979510070545
