axis_row,axis_col,convention,layer_row,layer_col,cos,reliability_row,reliability_col,cos_disattenuated
story_v2_1k,story_v2_1k,own_layer,18,18,1.0,0.9990264948365122,0.9990264948365122,1.000974453799293
story_v2_1k,persona_v2,own_layer,18,15,0.1298642239135152,0.9990264948365122,0.9957576121007556,0.13020396325606026
story_v2_1k,harm_v2,own_layer,18,21,0.005412278139510345,0.9990264948365122,0.9975895827871292,0.0054214524281941375
story_v2_1k,eval_v2,own_layer,18,9,-0.04899300559019462,0.9990264948365122,0.982340901003977,-0.04945548515208833
persona_v2,story_v2_1k,own_layer,15,18,0.1298642239135152,0.9957576121007556,0.9990264948365122,0.13020396325606026
persona_v2,persona_v2,own_layer,15,15,1.0,0.9957576121007556,0.9957576121007556,1.0042604624335174
persona_v2,harm_v2,own_layer,15,21,-0.07966528504535615,0.9957576121007556,0.9975895827871292,-0.07993120204437083
persona_v2,eval_v2,own_layer,15,9,0.0012900677802147437,0.9957576121007556,0.982340901003977,0.001304381401511951
harm_v2,story_v2_1k,own_layer,21,18,0.005412278139510345,0.9975895827871292,0.9990264948365122,0.0054214524281941375
harm_v2,persona_v2,own_layer,21,15,-0.07966528504535615,0.9975895827871292,0.9957576121007556,-0.07993120204437083
harm_v2,harm_v2,own_layer,21,21,0.9999999999999999,0.9975895827871292,0.9975895827871292,1.0024162413626416
harm_v2,eval_v2,own_layer,21,9,0.002314067027690457,0.9975895827871292,0.982340901003977,0.002337592838900625
eval_v2,story_v2_1k,own_layer,9,18,-0.04899300559019462,0.982340901003977,0.9990264948365122,-0.04945548515208833
eval_v2,persona_v2,own_layer,9,15,0.0012900677802147437,0.982340901003977,0.9957576121007556,0.001304381401511951
eval_v2,harm_v2,own_layer,9,21,0.002314067027690457,0.982340901003977,0.9975895827871292,0.002337592838900625
eval_v2,eval_v2,own_layer,9,9,1.0,0.982340901003977,0.982340901003977,1.0179765486482086
story_v2_1k,story_v2_1k,matched_to_col,18,18,1.0,0.9990264948365122,0.9990264948365122,1.000974453799293
story_v2_1k,persona_v2,matched_to_col,15,15,0.13673058427178472,0.9991080988791092,0.9957576121007556,0.13708268819462258
story_v2_1k,harm_v2,matched_to_col,21,21,0.07442712944941739,0.9986732414610329,0.9975895827871292,0.0745664744255475
story_v2_1k,eval_v2,matched_to_col,9,9,-0.052050780683362094,0.997218186351486,0.982340901003977,-0.05258974187283078
persona_v2,story_v2_1k,matched_to_col,18,18,0.17680435447308032,0.9967770053631446,0.9990264948365122,0.1771762267773633
persona_v2,persona_v2,matched_to_col,15,15,1.0,0.9957576121007556,0.9957576121007556,1.0042604624335174
persona_v2,harm_v2,matched_to_col,21,21,-0.05121452921445781,0.99507637886867,0.9975895827871292,-0.05140306597625029
persona_v2,eval_v2,matched_to_col,9,9,0.08051122796120319,0.9970527196119219,0.982340901003977,0.08135163315700923
harm_v2,story_v2_1k,matched_to_col,18,18,-0.017167807792361864,0.9976691192232601,0.9990264948365122,-0.01719622323850129
harm_v2,persona_v2,matched_to_col,15,15,-0.23972159384418107,0.9960943942983123,0.9957576121007556,-0.2407022173340483
harm_v2,harm_v2,matched_to_col,21,21,0.9999999999999999,0.9975895827871292,0.9975895827871292,1.0024162413626416
harm_v2,eval_v2,matched_to_col,9,9,-0.0158421635330526,0.9892182875548512,0.982340901003977,-0.0160707931178243
eval_v2,story_v2_1k,matched_to_col,18,18,-0.03154829568731992,0.9861425663319616,0.9990264948365122,-0.031784658297187414
eval_v2,persona_v2,matched_to_col,15,15,0.29552051182388817,0.9868948436808732,0.9957576121007556,0.29810919568590893
eval_v2,harm_v2,matched_to_col,21,21,0.07841095073360137,0.9832383778290946,0.9975895827871292,0.07917195263855223
eval_v2,eval_v2,matched_to_col,9,9,1.0,0.982340901003977,0.982340901003977,1.0179765486482086
