probe,group_kind,group,n,pct_reads_mean,pct_reads_min,pct_reads_max,n_layers,band_lo,band_hi,ref_tpr_mean,ref_fpr_mean,gap_position_mean
eval_v2,all,all,1009,77.61225890066325,0.0,99.30624380574827,65,0,64,0.7149384615384615,0.31215384615384617,nan
harm_v2,all,all,1009,67.29892505908363,0.0,99.10802775024777,65,0,64,0.718123076923077,0.21350769230769234,nan
persona_v2,all,all,1009,71.49195700236334,0.0,96.92765113974232,65,0,64,0.8789384615384614,0.1098923076923077,nan
story_v2_1k,all,all,1009,28.602576808721505,0.0,88.60257680872151,65,0,64,0.9399692307692308,0.04473846153846154,nan
eval_v2,category,Disinformation,55,79.21678321678321,0.0,100.0,65,0,64,0.7149384615384615,0.31215384615384617,nan
harm_v2,category,Disinformation,55,76.58741258741259,0.0,98.18181818181819,65,0,64,0.718123076923077,0.21350769230769234,nan
persona_v2,category,Disinformation,55,66.82517482517483,0.0,100.0,65,0,64,0.8789384615384614,0.1098923076923077,nan
story_v2_1k,category,Disinformation,55,12.923076923076923,0.0,78.18181818181819,65,0,64,0.9399692307692308,0.04473846153846154,nan
eval_v2,category,Economic harm,65,72.49704142011835,0.0,100.0,65,0,64,0.7149384615384615,0.31215384615384617,nan
harm_v2,category,Economic harm,65,86.57988165680474,0.0,100.0,65,0,64,0.718123076923077,0.21350769230769234,nan
persona_v2,category,Economic harm,65,62.31952662721893,0.0,93.84615384615384,65,0,64,0.8789384615384614,0.1098923076923077,nan
story_v2_1k,category,Economic harm,65,12.852071005917159,0.0,84.61538461538461,65,0,64,0.9399692307692308,0.04473846153846154,nan
eval_v2,category,Expert advice,62,75.23573200992554,0.0,100.0,65,0,64,0.7149384615384615,0.31215384615384617,nan
harm_v2,category,Expert advice,62,80.42183622828784,0.0,98.38709677419355,65,0,64,0.718123076923077,0.21350769230769234,nan
persona_v2,category,Expert advice,62,65.28535980148882,0.0,96.7741935483871,65,0,64,0.8789384615384614,0.1098923076923077,nan
story_v2_1k,category,Expert advice,62,14.665012406947891,0.0,80.64516129032258,65,0,64,0.9399692307692308,0.04473846153846154,nan
eval_v2,category,Fraud/Deception,83,75.73679332715479,0.0,97.59036144578313,65,0,64,0.7149384615384615,0.31215384615384617,nan
harm_v2,category,Fraud/Deception,83,80.68582020389249,0.0,98.79518072289157,65,0,64,0.718123076923077,0.21350769230769234,nan
persona_v2,category,Fraud/Deception,83,66.17238183503244,0.0,97.59036144578313,65,0,64,0.8789384615384614,0.1098923076923077,nan
story_v2_1k,category,Fraud/Deception,83,15.848007414272475,0.0,80.72289156626506,65,0,64,0.9399692307692308,0.04473846153846154,nan
eval_v2,category,Government decision-making,80,75.07692307692308,0.0,98.75,65,0,64,0.7149384615384615,0.31215384615384617,nan
harm_v2,category,Government decision-making,80,83.71153846153847,0.0,97.5,65,0,64,0.718123076923077,0.21350769230769234,nan
persona_v2,category,Government decision-making,80,68.34615384615384,0.0,97.5,65,0,64,0.8789384615384614,0.1098923076923077,nan
story_v2_1k,category,Government decision-making,80,9.173076923076923,0.0,70.0,65,0,64,0.9399692307692308,0.04473846153846154,nan
eval_v2,category,Harassment/Discrimination,63,77.77777777777779,0.0,100.0,65,0,64,0.7149384615384615,0.31215384615384617,nan
harm_v2,category,Harassment/Discrimination,63,88.54700854700856,0.0,100.0,65,0,64,0.718123076923077,0.21350769230769234,nan
persona_v2,category,Harassment/Discrimination,63,61.343101343101345,0.0,98.41269841269842,65,0,64,0.8789384615384614,0.1098923076923077,nan
story_v2_1k,category,Harassment/Discrimination,63,18.974358974358974,0.0,87.3015873015873,65,0,64,0.9399692307692308,0.04473846153846154,nan
