layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,lopo_auroc_task_harmful,lopo_auroc_task_benign,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
0,0.0,0.5,0.4647820303999406,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.5,0.5,0.42865843090683253,nan,0.5
1,0.0156,0.9975,0.990998581994929,0.5666333591203001,2.7069755047715844,0.4944375,0.6920625,-0.1397591233253479,1.7943902015686035,0.0372205451130867,0.9975,0.9975,0.96,0.9227080317739853,2.0740893107127314,0.8775
2,0.0312,0.99875,0.9930553128676283,0.5630275981159101,2.740766977532348,0.48125,0.6806875000000001,-0.07211335748434067,1.799134373664856,0.031713347882032394,1.0,0.9975,0.985,0.9567917180822874,2.298925293817772,0.8775
3,0.0469,1.0,0.9953995154792554,0.5480889307830062,2.666075067145224,0.49056250000000007,0.6648124999999999,0.10237789899110794,1.7778452634811401,0.03210777789354324,1.0,1.0,0.995,0.9724581015427949,2.407185716911337,0.87
4,0.0625,1.0,0.9953995154792554,0.5476665220074807,2.323548137535182,0.5042500000000001,0.6884375,0.08971726894378662,1.6882864236831665,0.03554854169487953,1.0,1.0,1.0,0.9817246596448641,2.223236019230135,0.84
5,0.0781,1.0,0.9953995154792554,0.5959835796958166,2.5004899183650044,0.4954375,0.7112499999999999,0.03530653938651085,1.8211607933044434,0.04769203066825867,1.0,1.0,1.0,0.9817246596448641,2.17099284408176,0.85
6,0.0938,0.99,0.9803915268207586,0.5875207451165514,2.209289047919951,0.49812500000000004,0.6462500000000001,-0.38503673672676086,1.7093398571014404,0.0578286349773407,0.99,0.99,1.0,0.9817246596448641,2.1024903626019333,0.8575
7,0.1094,0.9975,0.990998581994929,0.5855595437669774,2.3224156362904123,0.5042500000000001,0.7144375000000001,-0.14835090935230255,1.7351272106170654,0.06578662246465683,0.995,1.0,1.0,0.9817246596448641,2.490431127229819,0.875
8,0.125,0.99875,0.9930553128676283,0.5742761445859039,2.362291939107585,0.5098750000000001,0.7163125000000001,-0.18663153052330017,1.7386564016342163,0.07685249298810959,0.9975,1.0,1.0,0.9817246596448641,3.0387772422947648,0.9375
9,0.1406,0.99125,0.9820552005928282,0.5750557347263933,2.1316485098638243,0.5069375,0.7071875,-0.26912808418273926,1.7542866468429565,0.07737962901592255,0.9875,0.995,0.995,0.9724581015427949,2.7585782370768954,0.925
10,0.1562,0.99625,0.9890803491202564,0.5847659340941694,2.3239108945373483,0.49143749999999986,0.6995,-0.08786962926387787,1.7567282915115356,0.07439763844013214,0.995,0.9975,1.0,0.9817246596448641,3.0372128256672135,0.9225
11,0.1719,1.0,0.9953995154792554,0.593167584486311,2.4341299157090623,0.49012500000000003,0.7015,0.02387191727757454,1.7343236207962036,0.07562436163425446,1.0,1.0,1.0,0.9817246596448641,3.250173218344298,0.9275
12,0.1875,1.0,0.9953995154792554,0.6158195652655913,2.591333658672112,0.49937499999999996,0.6775625000000001,0.045892030000686646,1.7578095197677612,0.08052259683609009,1.0,1.0,1.0,0.9817246596448641,3.437306455608258,0.925
13,0.2031,1.0,0.9953995154792554,0.6098322249837147,2.627333325038646,0.4934374999999999,0.6965000000000001,0.07459872215986252,1.7394052743911743,0.08184165507555008,1.0,1.0,1.0,0.9817246596448641,3.5224735401133613,0.9225
14,0.2188,1.0,0.9953995154792554,0.6121095662464208,2.8082977187018856,0.5168124999999999,0.7129375,0.19041526317596436,1.7540725469589233,0.08985857665538788,1.0,1.0,1.0,0.9817246596448641,3.9854767997643075,0.9225
15,0.2344,1.0,0.9953995154792554,0.6059316976962719,2.8132738432505975,0.4889374999999999,0.7188125000000001,0.18438224494457245,1.7555502653121948,0.08949855715036392,1.0,1.0,1.0,0.9817246596448641,4.062927087186132,0.9325
16,0.25,1.0,0.9953995154792554,0.5834356236048657,2.595650814841679,0.5140624999999999,0.6900000000000001,0.141509011387825,1.7130727767944336,0.09279348701238632,1.0,1.0,1.0,0.9817246596448641,4.009500921980756,0.93
17,0.2656,1.0,0.9953995154792554,0.5865851096108095,2.6606890388586146,0.5039374999999999,0.7573125,0.18223486840724945,1.7270256280899048,0.095868319272995,1.0,1.0,1.0,0.9817246596448641,4.3710071802244075,0.9225
18,0.2812,1.0,0.9953995154792554,0.5777543978596194,2.5905785264058743,0.51325,0.6278125,0.1387997269630432,1.7428609132766724,0.09740733355283737,1.0,1.0,1.0,0.9817246596448641,4.183827182011184,0.9275
19,0.2969,1.0,0.9953995154792554,0.5614908200184893,2.5741554544469216,0.49749999999999994,0.6758124999999999,0.16560542583465576,1.7279127836227417,0.09732207655906677,1.0,1.0,1.0,0.9817246596448641,4.290794763610026,0.9275
20,0.3125,1.0,0.9953995154792554,0.5614064987728815,2.6252715751640125,0.492125,0.6410625000000001,0.18272778391838074,1.7706530094146729,0.10243239253759384,1.0,1.0,1.0,0.9817246596448641,4.3748777311125115,0.9375
21,0.3281,1.0,0.9953995154792554,0.5570943701197862,2.6739982668462257,0.505,0.7063125000000001,0.18865227699279785,1.7961620092391968,0.10211503505706787,1.0,1.0,1.0,0.9817246596448641,4.43074304020102,0.94
22,0.3438,1.0,0.9953995154792554,0.5738307569071714,2.589780649277975,0.4985625000000001,0.6773750000000001,0.16080869734287262,1.8652894496917725,0.1156209260225296,1.0,1.0,1.0,0.9817246596448641,3.836440090528643,0.96
23,0.3594,1.0,0.9953995154792554,0.5955667952541108,2.4608884531048507,0.5031874999999999,0.637,0.13519302010536194,1.7989383935928345,0.13894608616828918,1.0,1.0,1.0,0.9817246596448641,3.1311679818306124,0.96
