layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
0,0.0,0.5,0.4647820303999406,0.0,nan,0.5,0.5,nan,nan,0.0,0.5,0.42865843090683253,nan,0.5
1,0.0156,0.9775,0.9646727180084906,0.3233632770344188,1.9843879946686636,0.49556249999999996,0.6254375,-1.092581033706665,1.5699262619018555,0.02794824168086052,0.97,0.9358493732949731,2.0520480748644996,0.91
2,0.0312,0.98,0.967724007235133,0.3304905510289038,2.0029910521091034,0.48050000000000004,0.63075,-1.044707179069519,1.591096043586731,0.024739669635891914,0.96,0.9227080317739853,2.076975320596936,0.9
3,0.0469,0.9775,0.9646727180084906,0.3524177910189642,2.093587714073508,0.491875,0.620375,-1.2392221689224243,1.612156629562378,0.028384890407323837,0.975,0.9426256488731539,2.1466987074737567,0.91
4,0.0625,0.97375,0.9601529198313434,0.34639906007779414,1.977082499191579,0.4916250000000001,0.61975,-1.3378196954727173,1.6035394668579102,0.030984237790107727,0.985,0.9567917180822874,2.0219608254254546,0.8975
5,0.0781,0.97875,0.9661941460875292,0.3765677810173983,2.0697281946252892,0.50675,0.6199999999999999,-1.3028564453125,1.6627131700515747,0.03911954537034035,0.98,0.9495863909101048,2.0607102610816845,0.9025
6,0.0938,0.9825,0.9708121428325849,0.3718222830678785,2.0909356711458504,0.4971875,0.6579374999999998,-1.321215033531189,1.6431138515472412,0.03949686139822006,0.98,0.9495863909101048,2.1120847722986693,0.9125
7,0.1094,0.99125,0.9820552005928282,0.4116843374309951,2.4524917917133706,0.49681250000000005,0.650875,-0.7328644394874573,1.714874267578125,0.05382239818572998,0.99,0.9643453316027606,2.5035516500508996,0.95
8,0.125,0.99625,0.9890803491202564,0.4667564674143279,2.7110617241517785,0.5023124999999999,0.656875,-0.7135425209999084,1.7967242002487183,0.07783861458301544,0.995,0.9724581015427949,2.7471177631183683,0.9575
9,0.1406,0.995,0.9872478806115466,0.46824603997719577,2.651967460099367,0.4977500000000001,0.6438124999999999,-0.3704378604888916,1.7902827262878418,0.08341681212186813,0.995,0.9724581015427949,2.6484349337132436,0.9275
10,0.1562,0.99125,0.9820552005928282,0.46519363171208383,2.524931996050037,0.49999999999999983,0.6135624999999999,-0.5987588167190552,1.7517153024673462,0.08095519989728928,0.995,0.9724581015427949,2.5525673914374147,0.925
11,0.1719,0.99,0.9803915268207586,0.47286226038948515,2.5201968129562995,0.49693750000000003,0.7021875000000001,-0.49446162581443787,1.7637228965759277,0.08566232025623322,0.995,0.9724581015427949,2.5518352085456724,0.925
12,0.1875,0.99,0.9803915268207586,0.4653801932824173,2.542147088361992,0.49806249999999996,0.6793750000000001,-0.3919264078140259,1.7596899271011353,0.08275426924228668,0.995,0.9724581015427949,2.5660506424945058,0.9325
13,0.2031,0.9875,0.9771325294045115,0.4645620082430776,2.5139785788429925,0.507375,0.6566875,-0.39891520142555237,1.754717469215393,0.08386769890785217,0.995,0.9724581015427949,2.536985361622566,0.9325
14,0.2188,0.9875,0.9771325294045115,0.48139281301234077,2.5417068803061382,0.50825,0.627875,-0.4173792004585266,1.7459518909454346,0.09135366231203079,0.995,0.9724581015427949,2.5599892478553437,0.9325
