axis,basis,basis_axes,layer,depth,resid_frac
persona_v2,others,story_v2_1k+harm_v2+eval_v2,20,0.4762,0.9753126490639772
persona_v2,others,story_v2_1k+harm_v2+eval_v2,21,0.5,0.9661915453615065
persona_v2,others,story_v2_1k+harm_v2+eval_v2,22,0.5238,0.9642738346461563
persona_v2,others,story_v2_1k+harm_v2+eval_v2,23,0.5476,0.9459266904883811
persona_v2,others,story_v2_1k+harm_v2+eval_v2,24,0.5714,0.9408112175527295
persona_v2,others,story_v2_1k+harm_v2+eval_v2,25,0.5952,0.9397314564781545
persona_v2,others,story_v2_1k+harm_v2+eval_v2,26,0.619,0.9432543422659538
persona_v2,others,story_v2_1k+harm_v2+eval_v2,27,0.6429,0.9461334599424805
persona_v2,others,story_v2_1k+harm_v2+eval_v2,28,0.6667,0.9294138152722616
persona_v2,others,story_v2_1k+harm_v2+eval_v2,29,0.6905,0.9122896839733268
persona_v2,others,story_v2_1k+harm_v2+eval_v2,30,0.7143,0.9129156644662801
persona_v2,others,story_v2_1k+harm_v2+eval_v2,31,0.7381,0.9056976669911766
persona_v2,others,story_v2_1k+harm_v2+eval_v2,32,0.7619,0.9139368718392089
persona_v2,others,story_v2_1k+harm_v2+eval_v2,33,0.7857,0.8988644417307763
persona_v2,others,story_v2_1k+harm_v2+eval_v2,34,0.8095,0.8954960807729039
persona_v2,others,story_v2_1k+harm_v2+eval_v2,35,0.8333,0.8861733452808932
persona_v2,others,story_v2_1k+harm_v2+eval_v2,36,0.8571,0.8808339736928364
persona_v2,others,story_v2_1k+harm_v2+eval_v2,37,0.881,0.8839059259771899
persona_v2,others,story_v2_1k+harm_v2+eval_v2,38,0.9048,0.8912050859136552
persona_v2,others,story_v2_1k+harm_v2+eval_v2,39,0.9286,0.8991120752422596
persona_v2,others,story_v2_1k+harm_v2+eval_v2,40,0.9524,0.9037824796584706
persona_v2,others,story_v2_1k+harm_v2+eval_v2,41,0.9762,0.8928031028598523
persona_v2,others,story_v2_1k+harm_v2+eval_v2,42,1.0,0.9079635072373685
persona_v2,story_v2_1k,story_v2_1k,0,0.0,0.0
persona_v2,story_v2_1k,story_v2_1k,1,0.0238,0.9904605004582454
persona_v2,story_v2_1k,story_v2_1k,2,0.0476,0.9997555490239239
persona_v2,story_v2_1k,story_v2_1k,3,0.0714,0.9821029605640417
persona_v2,story_v2_1k,story_v2_1k,4,0.0952,0.9903641230361482
persona_v2,story_v2_1k,story_v2_1k,5,0.119,0.9955139644010941
persona_v2,story_v2_1k,story_v2_1k,6,0.1429,0.9927794775993118
persona_v2,story_v2_1k,story_v2_1k,7,0.1667,0.9992452662291621
persona_v2,story_v2_1k,story_v2_1k,8,0.1905,0.9975181701690975
persona_v2,story_v2_1k,story_v2_1k,9,0.2143,0.9971249794735468
persona_v2,story_v2_1k,story_v2_1k,10,0.2381,0.9992892753002753
persona_v2,story_v2_1k,story_v2_1k,11,0.2619,0.9998644310333238
persona_v2,story_v2_1k,story_v2_1k,12,0.2857,0.9999121560093142
persona_v2,story_v2_1k,story_v2_1k,13,0.3095,0.9995813218259907
persona_v2,story_v2_1k,story_v2_1k,14,0.3333,0.9984222984799825
persona_v2,story_v2_1k,story_v2_1k,15,0.3571,0.9967585231144063
persona_v2,story_v2_1k,story_v2_1k,16,0.381,0.9977104898722555
persona_v2,story_v2_1k,story_v2_1k,17,0.4048,0.9979778242056441
persona_v2,story_v2_1k,story_v2_1k,18,0.4286,0.9965747240715189
persona_v2,story_v2_1k,story_v2_1k,19,0.4524,0.9963316721331386
