axis,layer,depth,n_half,split_cos,reliability
story_v2_1k,0,0.0,400,0.0,nan
story_v2_1k,1,0.0238,400,0.9879965554049995,0.9939620395405789
story_v2_1k,2,0.0476,400,0.992147927949284,0.9960584894622766
story_v2_1k,3,0.0714,400,0.9932352265648184,0.9966061339148415
story_v2_1k,4,0.0952,400,0.9933153965835657,0.9966464898490769
story_v2_1k,5,0.119,400,0.9947897816964126,0.9973880865285181
story_v2_1k,6,0.1429,400,0.9950531771876937,0.9975204556605957
story_v2_1k,7,0.1667,400,0.9946684654187696,0.9973271073997196
story_v2_1k,8,0.1905,400,0.9944558561943575,0.9972202223536693
story_v2_1k,9,0.2143,400,0.9903283310761192,0.9951406666061716
story_v2_1k,10,0.2381,400,0.9929231678665926,0.9964490190853754
story_v2_1k,11,0.2619,400,0.9945559594584633,0.9972705501113065
story_v2_1k,12,0.2857,400,0.9948570841671077,0.9974219126404038
story_v2_1k,13,0.3095,400,0.9946694525106395,0.9973276035873256
story_v2_1k,14,0.3333,400,0.9952870436295052,0.997637955708908
story_v2_1k,15,0.3571,400,0.9952777810622465,0.9976333024992442
story_v2_1k,16,0.381,400,0.9955367142326036,0.9977633657473884
story_v2_1k,17,0.4048,400,0.9953099197351628,0.9976494477281705
story_v2_1k,18,0.4286,400,0.9965738313503107,0.9982839759813079
story_v2_1k,19,0.4524,400,0.9971159500488653,0.9985558925854735
story_v2_1k,20,0.4762,400,0.9977083414592022,0.998852856298771
story_v2_1k,21,0.5,400,0.9977832520969568,0.9988903961925217
story_v2_1k,22,0.5238,400,0.9976657417779708,0.9988315071069139
story_v2_1k,23,0.5476,400,0.9976654478050384,0.99883135977672
story_v2_1k,24,0.5714,400,0.9969541920993716,0.9984747732758825
story_v2_1k,25,0.5952,400,0.996696229074802,0.998345381296819
story_v2_1k,26,0.619,400,0.9963096736343913,0.9981514258963189
story_v2_1k,27,0.6429,400,0.9955981172513808,0.9977942037975651
story_v2_1k,28,0.6667,400,0.9957755248642928,0.9978832914408075
story_v2_1k,29,0.6905,400,0.9955208504727048,0.9977553982829926
story_v2_1k,30,0.7143,400,0.9951724014219914,0.9975803601861333
story_v2_1k,31,0.7381,400,0.9951001432112093,0.9975440547155171
story_v2_1k,32,0.7619,400,0.9951192702419579,0.9975536651713808
story_v2_1k,33,0.7857,400,0.9950316606366608,0.9975096438510886
story_v2_1k,34,0.8095,400,0.9946627221910056,0.9973242204059783
story_v2_1k,35,0.8333,400,0.9942758265934615,0.9971296982442412
story_v2_1k,36,0.8571,400,0.993910256818099,0.9969458288500812
story_v2_1k,37,0.881,400,0.9934585669659148,0.9967185507928357
story_v2_1k,38,0.9048,400,0.9933489226835156,0.9966633652338546
story_v2_1k,39,0.9286,400,0.993238736832957,0.996607900979395
story_v2_1k,40,0.9524,400,0.9927037468684646,0.9963385158767322
story_v2_1k,41,0.9762,400,0.9928356583292579,0.9964049510852548
story_v2_1k,42,1.0,400,0.9920666226463452,0.9960175140412143
persona_v2,0,0.0,400,0.0,nan
persona_v2,1,0.0238,400,0.993646890300726,0.9968133224944785
persona_v2,2,0.0476,400,0.9925330317557945,0.9962525247385106
persona_v2,3,0.0714,400,0.9952646912331432,0.9976267265252259
persona_v2,4,0.0952,400,0.9960175303535966,0.9980047922496462
persona_v2,5,0.119,400,0.9932133591700208,0.996595125755727
persona_v2,6,0.1429,400,0.9911947863550512,0.9955779245178383
persona_v2,7,0.1667,400,0.9913022430728435,0.995632126184052
persona_v2,8,0.1905,400,0.9915493431058178,0.9957567423958457
persona_v2,9,0.2143,400,0.9930692073170367,0.996522552926151
persona_v2,10,0.2381,400,0.993333168227431,0.9966554352885738
persona_v2,11,0.2619,400,0.9922253390667006,0.9960974992231845
persona_v2,12,0.2857,400,0.9933792198153123,0.996678614827087
persona_v2,13,0.3095,400,0.9928521174794028,0.9964132398696809
persona_v2,14,0.3333,400,0.9913950202038064,0.995678918693232
persona_v2,15,0.3571,400,0.9891944449852651,0.9945678739240523
persona_v2,16,0.381,400,0.9873988621694613,0.9936594822154706
persona_v2,17,0.4048,400,0.9864074912485686,0.9931572404900226
persona_v2,18,0.4286,400,0.9875474409714273,0.9937347110454449
persona_v2,19,0.4524,400,0.987127254943574,0.993521932214255
persona_v2,20,0.4762,400,0.9872438358425007,0.9935809768648288
persona_v2,21,0.5,400,0.9871139701282591,0.9935152034229274
persona_v2,22,0.5238,400,0.9879442238565963,0.9939355561394899
persona_v2,23,0.5476,400,0.9886450010243674,0.9942900824582651
persona_v2,24,0.5714,400,0.9884544386310206,0.9941937008237774
persona_v2,25,0.5952,400,0.9890728935531093,0.9945064323774623
persona_v2,26,0.619,400,0.9891245807154854,0.994532560006572
persona_v2,27,0.6429,400,0.9889984125484831,0.9944687801749321
persona_v2,28,0.6667,400,0.9894702622170639,0.9947072655556048
persona_v2,29,0.6905,400,0.9897041437071282,0.9948254335573283
persona_v2,30,0.7143,400,0.9898420890248564,0.9948951170391006
persona_v2,31,0.7381,400,0.990121563137428,0.9950362645953151
persona_v2,32,0.7619,400,0.9902349536742556,0.995093520838976
persona_v2,33,0.7857,400,0.9907744419444273,0.9953658446375462
persona_v2,34,0.8095,400,0.9908914931336557,0.9954249104495355
persona_v2,35,0.8333,400,0.9905716935197817,0.9952635182591455
persona_v2,36,0.8571,400,0.9902166105970878,0.9950842589943126
persona_v2,37,0.881,400,0.9897519852248505,0.9948496019346896
persona_v2,38,0.9048,400,0.9893478770041957,0.9946454196780075
persona_v2,39,0.9286,400,0.9893514081804917,0.994647204221577
persona_v2,40,0.9524,400,0.9888414945978564,0.9943894445925165
persona_v2,41,0.9762,400,0.988384945389385,0.9941585483044681
persona_v2,42,1.0,400,0.9867892336682529,0.9933506956309825
harm_v2,0,0.0,400,0.0,nan
harm_v2,1,0.0238,400,0.9418580243780127,0.9700585856988125
harm_v2,2,0.0476,400,0.9708704083238686,0.9852199355406098
harm_v2,3,0.0714,400,0.9722741150431972,0.9859421746980664
harm_v2,4,0.0952,400,0.973774991376512,0.9867132734288021
harm_v2,5,0.119,400,0.9780959931650735,0.9889267220040829
harm_v2,6,0.1429,400,0.9754032261364936,0.9875484794506421
harm_v2,7,0.1667,400,0.9763513560434791,0.9880341904367329
harm_v2,8,0.1905,400,0.9734409596605159,0.9865417608723126
harm_v2,9,0.2143,400,0.9740912315563386,0.9868755972218998
harm_v2,10,0.2381,400,0.9736382869960016,0.9866430879570529
harm_v2,11,0.2619,400,0.9787582594716174,0.9892651159247442
harm_v2,12,0.2857,400,0.9788666240731198,0.9893204647196578
harm_v2,13,0.3095,400,0.9799034272125683,0.9898497206928295
harm_v2,14,0.3333,400,0.9864888134841112,0.9931984582927545
harm_v2,15,0.3571,400,0.986218668829217,0.9930615236947167
harm_v2,16,0.381,400,0.9883371870129248,0.9941343887428892
harm_v2,17,0.4048,400,0.9881004271714293,0.99401460174449
harm_v2,18,0.4286,400,0.9854034299871438,0.9926480584286335
harm_v2,19,0.4524,400,0.9846866696570385,0.9922842579752864
harm_v2,20,0.4762,400,0.9848454864333067,0.9923648900278251
harm_v2,21,0.5,400,0.9839521407514104,0.9919111661420866
harm_v2,22,0.5238,400,0.9861936094197824,0.993048819352384
harm_v2,23,0.5476,400,0.9852356015341387,0.99256289860284
harm_v2,24,0.5714,400,0.9873551002512023,0.9936373224155062
harm_v2,25,0.5952,400,0.9877985747092167,0.9938618402055307
harm_v2,26,0.619,400,0.9878486618167936,0.9938871915067716
harm_v2,27,0.6429,400,0.988450983161875,0.9941919529644323
harm_v2,28,0.6667,400,0.9876849414907695,0.9938043206686497
harm_v2,29,0.6905,400,0.987804965346819,0.9938650748610776
harm_v2,30,0.7143,400,0.9876457854510058,0.993784498908496
harm_v2,31,0.7381,400,0.9884256651608665,0.9941791463256953
harm_v2,32,0.7619,400,0.9879569136773154,0.9939419781989101
harm_v2,33,0.7857,400,0.9884291167158906,0.9941808922496468
harm_v2,34,0.8095,400,0.9885382037329934,0.9942360693671916
harm_v2,35,0.8333,400,0.9886342878849261,0.9942846645135732
harm_v2,36,0.8571,400,0.9884901072240877,0.9942117425004543
harm_v2,37,0.881,400,0.9883250039834469,0.9941282255198907
harm_v2,38,0.9048,400,0.988126987839371,0.9940280413508534
harm_v2,39,0.9286,400,0.9877041027199461,0.9938140202743313
harm_v2,40,0.9524,400,0.9864183219089984,0.9931627301554744
harm_v2,41,0.9762,400,0.9865233293630218,0.9932159514878189
harm_v2,42,1.0,400,0.9848746482565514,0.992379694225661
eval_v2,0,0.0,400,0.0,nan
eval_v2,1,0.0238,400,0.9691985879618037,0.9843584023335722
eval_v2,2,0.0476,400,0.9706835531698629,0.9851237167007451
eval_v2,3,0.0714,400,0.9739877590278184,0.9868224912473659
eval_v2,4,0.0952,400,0.9788678951147246,0.9893211138866598
eval_v2,5,0.119,400,0.9743915461210507,0.987029698375046
eval_v2,6,0.1429,400,0.9746894193215078,0.9871825004829423
eval_v2,7,0.1667,400,0.9784116686630532,0.9890880489238443
eval_v2,8,0.1905,400,0.9774673341821776,0.9886052905004667
eval_v2,9,0.2143,400,0.9748813905738698,0.9872809528987302
eval_v2,10,0.2381,400,0.9754722344913388,0.9875838470010303
eval_v2,11,0.2619,400,0.9766246522869957,0.9881741089862668
eval_v2,12,0.2857,400,0.9763176707355905,0.9880169420052826
eval_v2,13,0.3095,400,0.9737722496134709,0.9867118658742591
eval_v2,14,0.3333,400,0.969427188697453,0.9844762926611329
eval_v2,15,0.3571,400,0.9691371196254843,0.9843266981933764
eval_v2,16,0.381,400,0.9658902535689242,0.982649211282699
eval_v2,17,0.4048,400,0.9647706704941642,0.9820694954200556
eval_v2,18,0.4286,400,0.9646210092858453,0.9819919513499373
eval_v2,19,0.4524,400,0.9673552046524707,0.9834067608786
eval_v2,20,0.4762,400,0.9691739735440906,0.9843457069461317
eval_v2,21,0.5,400,0.9676550359468705,0.9835616693667218
eval_v2,22,0.5238,400,0.9674469166502982,0.9834541490933207
eval_v2,23,0.5476,400,0.9630932557203423,0.9811996989077755
eval_v2,24,0.5714,400,0.9540163622291625,0.976467117338578
eval_v2,25,0.5952,400,0.9543322933697748,0.9766325784079011
eval_v2,26,0.619,400,0.9555596781894594,0.9772748833460888
eval_v2,27,0.6429,400,0.9683181930716734,0.9839041233069714
eval_v2,28,0.6667,400,0.969195281071966,0.9843566967562176
eval_v2,29,0.6905,400,0.9715715722205752,0.9855808289285658
eval_v2,30,0.7143,400,0.9758380353422474,0.9877712827541721
eval_v2,31,0.7381,400,0.9762669317211511,0.9879909601795646
eval_v2,32,0.7619,400,0.9757888405898538,0.9877460794834138
eval_v2,33,0.7857,400,0.9753593416345643,0.9875259868692822
eval_v2,34,0.8095,400,0.97596787800021,0.9878377972297242
eval_v2,35,0.8333,400,0.9762321654198548,0.9879731566988762
eval_v2,36,0.8571,400,0.9762214823049707,0.9879676858550818
eval_v2,37,0.881,400,0.9767731024876012,0.9882500943162522
eval_v2,38,0.9048,400,0.9772888068986721,0.9885139727580061
eval_v2,39,0.9286,400,0.9777393523703671,0.9887443976867057
eval_v2,40,0.9524,400,0.9778728395194601,0.9888126475886508
eval_v2,41,0.9762,400,0.9797219524072732,0.9897571234343948
eval_v2,42,1.0,400,0.9793761264986369,0.9895806192540854
